.................
Ayoub EL GHEBOULI
/////////////////
This txt file contains the comparative results of the different detectors, descriptors and matching of points of interest (46 methods) for scenarios 4, 5, 6, and 7.

................................................
The console display for scenarios 4, 5, 6 and 7:
................................................

+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 4                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
|  mser-lucid_bf.L2  |         0.577         |        239.143         |            22.06            |
|  mser-lucid_bf.L1  |         0.579         |        240.061         |            21.268           |
|  star-lucid_bf.L2  |         0.071         |        369.408         |            14.82            |
| mser-lucid_bf.HAMG |         0.577         |        250.163         |            14.808           |
|  star-lucid_bf.L1  |          0.07         |        370.735         |            13.692           |
| star-lucid_bf.HAMG |         0.069         |         380.0          |             8.37            |
|  fast-lucid_bf.L2  |         2.585         |        5359.429        |            4.674            |
|  fast-lucid_bf.L1  |         2.546         |        5403.347        |            4.363            |
| fast-lucid_bf.HAMG |         2.042         |        5657.571        |            2.985            |
+--------------------+-----------------------+------------------------+-----------------------------+


+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 6                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         3.086         |        4441.143        |            76.391           |
| fast-brief_bf.HAMG |         1.032         |        4472.082        |            74.743           |
| star-latch_bf.HAMG |         0.229         |        415.755         |            74.116           |
| star-brief_bf.HAMG |         0.058         |        412.306         |            69.907           |
|     kaze_bf.L1     |         2.051         |        1647.612        |            66.975           |
|     kaze_bf.L2     |         2.052         |        1633.224        |            65.335           |
|  star-brief_bf.L1  |         0.064         |        399.776         |            62.835           |
|    akaze_bf.L1     |         0.438         |        1137.184        |            62.825           |
|  fast-brief_bf.L1  |         1.778         |        4250.592        |            60.318           |
| mser-latch_bf.HAMG |         0.679         |        203.163         |            59.655           |
|  star-latch_bf.L1  |          0.24         |        389.694         |            58.858           |
|    akaze_bf.L2     |         0.428         |        1113.551        |            58.778           |
| mser-brief_bf.HAMG |         0.571         |         201.98         |            57.765           |
| mser-freak_bf.HAMG |         0.573         |        169.245         |            56.823           |
|  star-brief_bf.L2  |         0.066         |        391.245         |            56.441           |
|  fast-latch_bf.L1  |         3.865         |        4188.51         |            54.627           |
| star-freak_bf.HAMG |         0.073         |        366.571         |            53.583           |
|     sift_bf.L1     |         1.593         |        1902.245        |            53.123           |
|    brisk_bf.L1     |         1.193         |        2337.714        |            52.881           |
|  mser-freak_bf.L1  |         0.585         |        171.898         |            51.868           |
|  mser-brief_bf.L1  |         0.576         |        201.673         |            51.597           |
| fast-freak_bf.HAMG |         1.362         |        4350.306        |            51.087           |
|     sift_bf.L2     |         1.607         |        1931.306        |            50.879           |
|    brisk_bf.L2     |         1.144         |        2308.898        |            49.844           |
|  star-latch_bf.L2  |         0.246         |        371.898         |            49.308           |
|  mser-freak_bf.L2  |         0.582         |        170.959         |            49.244           |
|  fast-brief_bf.L2  |          1.77         |        4154.551        |            47.634           |
|     orb_bf.L1      |         0.059         |        286.449         |            47.232           |
|  mser-latch_bf.L1  |         0.689         |        202.041         |            46.474           |
|  mser-brief_bf.L2  |          0.58         |        200.122         |            46.105           |
|  star-freak_bf.L1  |         0.095         |        360.388         |            45.987           |
|  mser-latch_bf.L2  |         0.691         |        197.531         |            40.355           |
|  star-freak_bf.L2  |         0.097         |        357.245         |            40.156           |
|  fast-latch_bf.L2  |         3.846         |        4046.347        |            39.877           |
|     orb_bf.L2      |         0.061         |        278.857         |            39.752           |
|  fast-freak_bf.L1  |         3.655         |        4236.837        |            38.628           |
|  fast-freak_bf.L2  |         3.449         |        4160.041        |            29.519           |
|  mser-lucid_bf.L2  |         0.581         |        222.755         |            15.096           |
|  mser-lucid_bf.L1  |          0.58         |        223.735         |            14.277           |
| mser-lucid_bf.HAMG |         0.578         |        234.918         |            10.255           |
|  star-lucid_bf.L2  |          0.07         |        351.224         |            9.107            |
|  star-lucid_bf.L1  |         0.069         |        351.959         |            9.053            |
| star-lucid_bf.HAMG |         0.068         |        364.857         |            6.741            |
|  fast-lucid_bf.L2  |         2.118         |        4645.061        |            3.647            |
|  fast-lucid_bf.L1  |         2.097         |        4688.551        |            3.613            |
| fast-lucid_bf.HAMG |         1.687         |        4947.796        |            2.773            |
+--------------------+-----------------------+------------------------+-----------------------------+


+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 7                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
+--------------------+-----------------------+------------------------+-----------------------------+
| star-latch_bf.HAMG |         0.232         |        379.438         |            61.474           |
| fast-latch_bf.HAMG |         3.105         |        3962.375        |            60.459           |
| fast-brief_bf.HAMG |         1.049         |        4048.146        |            59.201           |
| star-brief_bf.HAMG |          0.06         |        382.708         |            58.653           |
|     kaze_bf.L1     |         2.065         |        1508.104        |            56.072           |
|     kaze_bf.L2     |         2.076         |        1502.875        |            53.536           |
|  star-brief_bf.L1  |         0.074         |        373.104         |            49.564           |
|    akaze_bf.L1     |         0.455         |        1064.354        |            47.525           |
| mser-latch_bf.HAMG |          0.69         |        193.292         |            46.83            |
| mser-freak_bf.HAMG |         0.582         |        163.167         |            46.518           |
| mser-brief_bf.HAMG |          0.58         |        192.917         |            45.324           |
|    akaze_bf.L2     |          0.45         |        1048.542        |            43.735           |
|  mser-freak_bf.L1  |         0.586         |        165.333         |            42.963           |
|  fast-brief_bf.L1  |         1.846         |        3981.083        |            42.336           |
|    brisk_bf.L1     |         1.214         |        2249.812        |            42.08            |
|  star-latch_bf.L1  |         0.252         |        366.625         |            41.942           |
